Date,Price,Open,High,Low,Vol.,Change %
2019-06-14,1869.67,1864.0,1876.0,1859.0,2.85M,-0.03%
2019-06-13,1870.3,1866.72,1883.09,1862.22,2.80M,0.81%
2019-06-12,1855.32,1853.98,1865.0,1844.38,2.68M,-0.45%
2019-06-11,1863.7,1883.25,1893.7,1858.0,4.04M,0.16%
2019-06-10,1860.63,1822.0,1884.87,1818.0,5.37M,3.14%
2019-06-07,1804.03,1763.7,1806.25,1759.49,4.81M,2.83%
2019-06-06,1754.36,1737.71,1760.0,1726.13,3.69M,0.91%
2019-06-05,1738.5,1749.6,1752.0,1715.25,4.24M,0.52%
2019-06-04,1729.56,1699.24,1730.82,1680.89,5.68M,2.18%
2019-06-03,1692.69,1760.01,1766.29,1672.0,9.10M,-4.64%
2019-05-31,1775.07,1790.01,1795.59,1772.7,4.62M,-2.27%
2019-05-30,1816.32,1825.49,1829.47,1807.83,3.15M,-0.16%
2019-05-29,1819.19,1823.12,1830.0,1807.53,4.28M,-0.94%
2019-05-28,1836.43,1832.75,1849.27,1827.35,3.20M,0.72%
2019-05-24,1823.28,1835.89,1841.76,1817.85,3.37M,0.43%
2019-05-23,1815.48,1836.59,1844.0,1804.2,4.42M,-2.38%
2019-05-22,1859.68,1851.78,1871.48,1851.0,2.94M,0.12%
2019-05-21,1857.52,1874.79,1879.0,1846.0,4.01M,-0.08%
2019-05-20,1858.97,1852.69,1867.78,1835.54,3.80M,-0.54%
2019-05-17,1869.0,1893.05,1910.53,1867.33,4.74M,-2.02%
2019-05-16,1907.57,1885.94,1917.51,1882.29,4.71M,1.95%
2019-05-15,1871.15,1827.95,1874.43,1823.0,4.69M,1.69%
2019-05-14,1840.12,1839.5,1852.44,1815.75,4.63M,0.96%
2019-05-13,1822.68,1836.56,1846.54,1818.0,5.78M,-3.56%
2019-05-10,1889.98,1898.0,1903.79,1856.0,5.72M,-0.52%
2019-05-09,1899.87,1900.0,1909.4,1876.0,5.31M,-0.93%
2019-05-08,1917.77,1918.87,1935.37,1910.0,4.08M,-0.17%
2019-05-07,1921.0,1939.99,1949.1,1903.38,5.90M,-1.51%
2019-05-06,1950.55,1917.98,1959.0,1910.5,5.42M,-0.61%
2019-05-03,1962.46,1949.0,1964.4,1936.0,6.38M,3.24%
2019-05-02,1900.82,1913.33,1921.55,1881.87,3.96M,-0.56%
2019-05-01,1911.52,1933.09,1943.64,1910.55,3.12M,-0.78%
2019-04-30,1926.52,1930.1,1935.71,1906.95,3.51M,-0.61%
2019-04-29,1938.43,1949.0,1956.34,1934.09,4.02M,-0.63%
2019-04-26,1950.63,1929.0,1951.0,1898.0,8.43M,2.54%
2019-04-25,1902.25,1917.0,1922.45,1900.31,6.10M,0.03%
2019-04-24,1901.75,1925.0,1929.69,1898.16,3.68M,-1.14%
2019-04-23,1923.77,1891.2,1929.26,1889.58,4.64M,1.93%
2019-04-22,1887.31,1855.4,1888.42,1845.64,3.37M,1.38%
2019-04-18,1861.69,1868.79,1870.82,1859.48,2.75M,-0.17%
2019-04-17,1864.82,1872.99,1876.47,1860.44,2.89M,0.10%
2019-04-16,1863.04,1851.35,1869.77,1848.0,3.04M,0.98%
2019-04-15,1844.87,1842.0,1846.85,1818.9,3.72M,0.10%
2019-04-12,1843.06,1848.4,1851.5,1841.3,3.11M,-0.05%
2019-04-11,1844.07,1848.7,1849.95,1840.31,2.65M,-0.18%
2019-04-10,1847.33,1841.0,1848.0,1828.81,2.96M,0.63%
2019-04-09,1835.84,1845.49,1853.09,1831.78,3.71M,-0.76%
2019-04-08,1849.86,1833.23,1850.2,1825.11,3.75M,0.68%
2019-04-05,1837.28,1829.0,1838.58,1825.19,3.64M,1.01%
2019-04-04,1818.86,1820.65,1828.75,1804.2,3.62M,-0.10%
2019-04-03,1820.7,1826.72,1830.0,1809.62,3.98M,0.37%
2019-04-02,1813.98,1811.02,1820.0,1805.12,3.45M,-0.01%
2019-04-01,1814.19,1800.11,1815.67,1798.73,4.24M,1.88%
2019-03-29,1780.75,1786.58,1792.86,1776.63,3.32M,0.41%
2019-03-28,1773.42,1770.0,1777.93,1753.47,3.04M,0.44%
2019-03-27,1765.7,1784.13,1787.5,1745.68,4.32M,-1.01%
2019-03-26,1783.76,1793.0,1805.77,1773.36,4.87M,0.54%
2019-03-25,1774.26,1757.79,1782.68,1747.5,5.10M,0.54%
2019-03-22,1764.77,1810.17,1818.98,1763.11,6.36M,-3.00%
2019-03-21,1819.26,1796.26,1823.75,1787.28,5.77M,1.22%
2019-03-20,1797.27,1769.94,1799.5,1767.03,6.27M,2.01%
