Date,Price,Open,High,Low,Vol.,Change %
2019-07-22,2095.63,2090.35,2099.34,2087.51,264.58K,0.06%
2019-07-19,2094.36,2080.21,2096.73,2076.51,394.90M,1.35%
2019-07-18,2066.55,2068.66,2073.2,2061.33,446.64M,-0.31%
2019-07-17,2072.92,2079.91,2080.01,2063.49,761.63M,-0.91%
2019-07-16,2091.87,2084.46,2096.67,2078.74,682.80M,0.45%
2019-07-15,2082.48,2083.39,2088.34,2073.1,463.52M,-0.20%
2019-07-12,2086.66,2083.53,2090.43,2077.35,403.94M,0.29%
2019-07-11,2080.58,2070.59,2088.24,2070.21,376.68M,1.06%
2019-07-10,2058.78,2061.55,2068.2,2056.48,355.68M,0.33%
2019-07-09,2052.03,2070.35,2075.3,2052.03,440.12M,-0.59%
2019-07-08,2064.17,2091.91,2092.54,2063.78,515.95M,-2.20%
2019-07-05,2110.59,2111.0,2115.43,2096.23,459.39M,0.09%
2019-07-04,2108.73,2102.36,2108.8,2088.97,446.93M,0.61%
2019-07-03,2096.02,2120.75,2127.71,2093.32,522.71M,-1.23%
2019-07-02,2122.02,2122.07,2130.86,2112.52,460.83M,-0.36%
2019-07-01,2129.74,2147.24,2147.24,2126.87,412.29M,-0.04%
2019-06-28,2130.62,2135.06,2139.24,2123.97,537.27M,-0.17%
2019-06-27,2134.32,2120.73,2141.27,2118.22,644.90M,0.59%
2019-06-26,2121.85,2120.2,2128.25,2115.72,736.85M,0.01%
2019-06-25,2121.64,2125.74,2136.24,2115.11,643.00M,-0.22%
2019-06-24,2126.33,2130.32,2134.48,2123.88,669.64M,0.03%
2019-06-21,2125.62,2132.38,2132.68,2120.15,692.03M,-0.27%
2019-06-20,2131.29,2121.78,2131.77,2120.42,1.01B,0.31%
2019-06-19,2124.78,2119.54,2126.74,2117.64,862.98M,1.24%
2019-06-18,2098.71,2089.31,2103.02,2089.31,600.96M,0.38%
2019-06-17,2090.73,2091.71,2103.59,2087.25,561.55M,-0.22%
2019-06-14,2095.41,2096.32,2103.02,2087.47,473.37M,-0.37%
2019-06-13,2103.15,2104.46,2108.01,2081.92,553.39M,-0.27%
2019-06-12,2108.75,2111.66,2118.89,2104.41,693.51M,-0.14%
2019-06-11,2111.81,2096.09,2114.57,2094.6,550.74M,0.59%
2019-06-10,2099.49,2087.37,2099.65,2075.51,457.64M,1.31%
2019-06-07,2072.33,2070.78,2081.16,2057.97,368.39M,0.16%
2019-06-05,2069.11,2084.16,2086.49,2065.71,380.16M,0.10%
2019-06-04,2066.97,2066.78,2072.19,2060.98,435.99M,-0.04%
2019-06-03,2067.85,2031.03,2070.58,2029.17,387.14M,1.28%
2019-05-31,2041.74,2029.03,2048.9,2022.97,439.18M,0.14%
2019-05-30,2038.8,2024.33,2040.66,2023.91,461.85M,0.77%
2019-05-29,2023.32,2046.71,2046.71,2016.25,380.89M,-1.25%
2019-05-28,2048.83,2044.77,2058.42,2038.52,494.48M,0.23%
2019-05-27,2044.21,2044.25,2055.13,2035.87,351.62M,-0.05%
2019-05-24,2045.31,2047.3,2057.38,2035.98,480.65M,-0.69%
2019-05-23,2059.59,2063.25,2065.86,2046.82,509.27M,-0.26%
2019-05-22,2064.86,2068.65,2070.8,2048.01,509.97M,0.18%
2019-05-21,2061.25,2056.95,2076.47,2053.69,526.86M,0.27%
2019-05-20,2055.71,2066.53,2077.1,2051.69,640.20M,-0.00%
2019-05-17,2055.8,2081.57,2082.83,2053.79,537.38M,-0.58%
